Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
72832116179,72832149923,33744,0,33744,:weight_h2d L70 462MiB,1246522,1246522,2,0,4169,2254,:14:2254:4169,----:weight_h2d L70 462MiB
72832172250,72832206521,34271,0,34271,:weight_h2d L70 0MiB,1246522,1246522,2,0,4170,2254,:14:2254:4170,----:weight_h2d L70 0MiB
72832226449,72832260938,34489,0,34489,:weight_h2d L70 0MiB,1246522,1246522,2,0,4171,2254,:14:2254:4171,----:weight_h2d L70 0MiB
72835046437,72835120609,74172,0,74172,:weight_h2d L71 0MiB,1246522,1246522,2,0,4174,2254,:14:2254:4174,----:weight_h2d L71 0MiB
72835152131,72835192754,40623,0,40623,:weight_h2d L71 0MiB,1246522,1246522,2,0,4175,2254,:14:2254:4175,----:weight_h2d L71 0MiB
72835215194,72835251726,36532,0,36532,:weight_h2d L71 0MiB,1246522,1246522,2,0,4176,2254,:14:2254:4176,----:weight_h2d L71 0MiB
72838065879,72838136708,70829,0,70829,:weight_h2d L72 160MiB,1246522,1246522,2,0,4179,2254,:14:2254:4179,----:weight_h2d L72 160MiB
72838163544,72838202988,39444,0,39444,:weight_h2d L72 0MiB,1246522,1246522,2,0,4180,2254,:14:2254:4180,----:weight_h2d L72 0MiB
72838225723,72838261194,35471,0,35471,:weight_h2d L72 128MiB,1246522,1246522,2,0,4181,2254,:14:2254:4181,----:weight_h2d L72 128MiB
72838282429,72838317376,34947,0,34947,:weight_h2d L72 924MiB,1246522,1246522,2,0,4182,2254,:14:2254:4182,----:weight_h2d L72 924MiB
72838338508,72838372446,33938,0,33938,:weight_h2d L72 462MiB,1246522,1246522,2,0,4183,2254,:14:2254:4183,----:weight_h2d L72 462MiB
72838393219,72838426921,33702,0,33702,:weight_h2d L72 0MiB,1246522,1246522,2,0,4184,2254,:14:2254:4184,----:weight_h2d L72 0MiB
72838446402,72838479114,32712,0,32712,:weight_h2d L72 0MiB,1246522,1246522,2,0,4185,2254,:14:2254:4185,----:weight_h2d L72 0MiB
73989910496,74094087178,104176682,104082658,94024,:weight_ssd_read layer071/self_attn.qkv_proj.weight.bin 160MiB,1246522,1258195,0,1,4187,,:4187,:weight_ssd_read layer071/self_attn.qkv_proj.weight.bin 160MiB
73989962438,74094045096,104082658,82421744,21660914,:cuFileRead,1246522,1258195,1,1,4190,4187,:4187:4190,--:cuFileRead
73989990192,74165967056,175976864,175920749,56115,:weight_ssd_read layer071/self_attn.o_proj.weight.bin 128MiB,1246522,1258197,0,1,4191,,:4191,:weight_ssd_read layer071/self_attn.o_proj.weight.bin 128MiB
73990011022,74165931771,175920749,164240581,11680168,:cuFileRead,1246522,1258197,1,1,4194,4191,:4191:4194,--:cuFileRead
73990018856,74072440600,82421744,0,82421744,:cuFileHandleNVFS,1246522,1258195,2,0,4197,4190,:4187:4190:4197,----:cuFileHandleNVFS
73990039604,74154280185,164240581,0,164240581,:cuFileHandleNVFS,1246522,1258197,2,0,4200,4194,:4191:4194:4200,----:cuFileHandleNVFS
73990107660,74089028980,98921320,0,98921320,:cuFileHandleNVFS,1246522,1247444,0,0,4203,,:4203,:cuFileHandleNVFS
73990119585,74521110858,530991273,530873196,118077,:weight_ssd_read layer071/mlp.gate_up_proj.weight.bin 924MiB,1246522,1258194,0,1,4204,,:4204,:weight_ssd_read layer071/mlp.gate_up_proj.weight.bin 924MiB
73990153494,74521026690,530873196,480347695,50525501,:cuFileRead,1246522,1258194,1,1,4207,4204,:4204:4207,--:cuFileRead
73990191629,74470539324,480347695,0,480347695,:cuFileHandleNVFS,1246522,1258194,2,0,4210,4207,:4204:4207:4210,----:cuFileHandleNVFS
73990244380,74093935204,103690824,0,103690824,:cuFileHandleNVFS,1246522,1247445,0,0,4213,,:4213,:cuFileHandleNVFS
