Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,40493852,1,40493852.0,40493852.0,40493852,40493852,0.0,PushPop,:step:stream #4445 running=3
0.0,40298286,1,40298286.0,40298286.0,40298286,40298286,0.0,PushPop,:step:stream #5327 running=4
0.0,40203462,1,40203462.0,40203462.0,40203462,40203462,0.0,PushPop,:step:stream #5216 running=4
0.0,39954764,1,39954764.0,39954764.0,39954764,39954764,0.0,PushPop,:step:stream #5198 running=4
0.0,39808692,1,39808692.0,39808692.0,39808692,39808692,0.0,PushPop,:step:stream #5378 running=3
0.0,39800641,1,39800641.0,39800641.0,39800641,39800641,0.0,PushPop,:step:stream #5361 running=4
0.0,39617398,1,39617398.0,39617398.0,39617398,39617398,0.0,PushPop,:step:stream #5268 running=4
0.0,39554792,1,39554792.0,39554792.0,39554792,39554792,0.0,PushPop,:step:stream #137 running=3
0.0,39547769,1,39547769.0,39547769.0,39547769,39547769,0.0,PushPop,:step:stream #5302 running=4
0.0,39380620,1,39380620.0,39380620.0,39380620,39380620,0.0,PushPop,:step:stream #5296 running=4
0.0,39357303,1,39357303.0,39357303.0,39357303,39357303,0.0,PushPop,:step:stream #5355 running=4
0.0,39350378,1,39350378.0,39350378.0,39350378,39350378,0.0,PushPop,:step:stream #5353 running=4
0.0,39283245,1,39283245.0,39283245.0,39283245,39283245,0.0,PushPop,:step:stream #5169 running=2
0.0,39261313,1,39261313.0,39261313.0,39261313,39261313,0.0,PushPop,:step:stream #5267 running=4
0.0,39235780,1,39235780.0,39235780.0,39235780,39235780,0.0,PushPop,:step:stream #5179 running=3
0.0,38988809,1,38988809.0,38988809.0,38988809,38988809,0.0,PushPop,:step:stream #53 running=1
0.0,38879783,1,38879783.0,38879783.0,38879783,38879783,0.0,PushPop,:step:stream #5374 running=4
0.0,38817116,1,38817116.0,38817116.0,38817116,38817116,0.0,PushPop,:step:stream #5246 running=4
0.0,38740328,1,38740328.0,38740328.0,38740328,38740328,0.0,PushPop,:step:stream #5158 running=1
0.0,38740284,1,38740284.0,38740284.0,38740284,38740284,0.0,PushPop,:step:stream #5182 running=4
0.0,38588970,1,38588970.0,38588970.0,38588970,38588970,0.0,PushPop,:step:stream #5168 running=4
0.0,38559564,1,38559564.0,38559564.0,38559564,38559564,0.0,PushPop,:step:stream #5202 running=4
0.0,38524914,1,38524914.0,38524914.0,38524914,38524914,0.0,PushPop,:step:stream #5238 running=4
0.0,38479872,1,38479872.0,38479872.0,38479872,38479872,0.0,PushPop,:step:stream #5379 running=3
0.0,38392050,1,38392050.0,38392050.0,38392050,38392050,0.0,PushPop,:step:stream #4456 running=2
0.0,38365371,1,38365371.0,38365371.0,38365371,38365371,0.0,PushPop,:step:stream #5178 running=3
0.0,38319728,1,38319728.0,38319728.0,38319728,38319728,0.0,PushPop,:step:stream #5227 running=4
0.0,38246307,1,38246307.0,38246307.0,38246307,38246307,0.0,PushPop,:step:stream #108 running=1
0.0,38233761,1,38233761.0,38233761.0,38233761,38233761,0.0,PushPop,:step:stream #5335 running=4
0.0,38232249,1,38232249.0,38232249.0,38232249,38232249,0.0,PushPop,:step:stream #35 running=4
0.0,38048968,1,38048968.0,38048968.0,38048968,38048968,0.0,PushPop,:step:stream #5224 running=4
0.0,37932731,1,37932731.0,37932731.0,37932731,37932731,0.0,PushPop,:step:stream #5184 running=4
0.0,37844812,1,37844812.0,37844812.0,37844812,37844812,0.0,PushPop,:step:stream #5233 running=4
0.0,37830200,1,37830200.0,37830200.0,37830200,37830200,0.0,PushPop,:step:stream #3304 running=2
0.0,37774145,1,37774145.0,37774145.0,37774145,37774145,0.0,PushPop,:step:stream #144 running=2
0.0,37701405,1,37701405.0,37701405.0,37701405,37701405,0.0,PushPop,:step:stream #5375 running=4
0.0,37642604,1,37642604.0,37642604.0,37642604,37642604,0.0,PushPop,:step:stream #5287 running=4
