runner,config,model,block,prefix,rep,arm,ttft_s,store_wall_s,n_io,path_ok
v1,expfs-cufile,opt-2.7b,256,2032,2,A_warm,1.1539,0.249,7,True
v1,expfs-cufile,opt-2.7b,256,2032,2,D_gds,0.5134,0,7,True
v1,expfs-cufile,opt-2.7b,256,2032,3,A_warm,1.1542,0.249,7,True
v1,expfs-cufile,opt-2.7b,256,2032,3,D_gds,0.6578,0,7,True
v1,expfs-cufile,opt-2.7b,256,1024,-1,conc8_D,0.8475,2.7671,32,True
v1,expfs-posix,opt-2.7b,256,2032,0,A_warm,1.215,0.591,7,True
v1,expfs-posix,opt-2.7b,256,2032,0,E_posix,0.5372,0,7,True
v1,expfs-posix,opt-2.7b,256,2032,1,A_warm,1.2513,0.383,7,True
v1,expfs-posix,opt-2.7b,256,2032,1,E_posix,0.5549,0,7,True
v1,expfs-posix,opt-2.7b,256,2032,2,A_warm,1.1822,0.318,7,True
v1,expfs-posix,opt-2.7b,256,2032,2,E_posix,2.013,0,7,True
v1,expfs-posix,opt-2.7b,256,2032,3,A_warm,1.1567,0.278,7,True
v1,expfs-posix,opt-2.7b,256,2032,3,E_posix,0.5841,0,7,True
v1,expfs-posix,opt-2.7b,256,1024,-1,conc8_E,1.3953,2.7787,32,True
